"Product id";"Product code";"Product name"
90;"PM3-P154-65";"Передник PM3-P154-65"
753;"511T-FAS-14|60-62_170-176";"Жилет рабочий 511T-FAS-14"
756;"511T-FAS-14|60-62_182-188";"Жилет рабочий 511T-FAS-14"
759;"511T-FAS-14|64-66_170-176";"Жилет рабочий 511T-FAS-14"
761;"511T-FAS-14|64-66_182-188";"Жилет рабочий 511T-FAS-14"
762;"511T-FAS-22|44-46_182";"Жилет рабочий 511T-FAS-22"
763;"511T-FAS-22|44-46_158-164";"Жилет рабочий 511T-FAS-22"
764;"511T-FAS-22|44-46_170-176";"Жилет рабочий 511T-FAS-22"
765;"511T-FAS-22|48-50_182-188";"Жилет рабочий 511T-FAS-22"
766;"511T-FAS-22|56-58_170-176";"Жилет рабочий 511T-FAS-22"
767;"511T-FAS-22|56-58_182-188";"Жилет рабочий 511T-FAS-22"
768;"511T-FAS-22|60-62_182-188";"Жилет рабочий 511T-FAS-22"
769;"511T-FAS-22|64-66_182-188";"Жилет рабочий 511T-FAS-22"
811;"515NC-ADKN-90|56-58_170";"Жилет утеплённый 515NC-ADKN-90"
871;"791E-TASLAN-75|48-50_158-164";"Жилет утеплённый 791E-TASLAN-75"
899;"791E-TASLAN-81|48-50_158-164";"Жилет утеплённый 791E-TASLAN-81"
903;"791E-TASLAN-81|52-54_182-188";"Жилет утеплённый 791E-TASLAN-81"
905;"791E-TASLAN-81|56-58_182-188";"Жилет утеплённый 791E-TASLAN-81"
906;"791E-TASLAN-81|60-62_182-188";"Жилет утеплённый 791E-TASLAN-81"
908;"791E-TASLAN-81|64-66_182-188";"Жилет утеплённый 791E-TASLAN-81"
920;"791K-TASLAN-24/90|64-66_170-176";"Жилет утеплённый с капюшоном 791K-TASLAN-24/90"
921;"791K-TASLAN-24/90|64-66_182-188";"Жилет утеплённый с капюшоном 791K-TASLAN-24/90"
929;"791K-TASLAN-81/90|56-58_170-176";"Жилет утеплённый с капюшоном 791K-TASLAN-81/90"
931;"791K-TASLAN-81/90|60-62_170-176";"Жилет утеплённый с капюшоном 791K-TASLAN-81/90"
933;"791K-TASLAN-81/90|64-66_170-176";"Жилет утеплённый с капюшоном 791K-TASLAN-81/90"
934;"791K-TASLAN-81/90|64-66_182-188";"Жилет утеплённый с капюшоном 791K-TASLAN-81/90"
965;"818A-AS-15|56-58_188";"Комбинезон 818A-AS-15"
973;"818A-AS-21|56-58_188";"Комбинезон 818A-AS-21"
975;"818N-PP-13/71|48-50_182";"Комбинезон 818N-PP-13/71"
976;"818N-PP-13/71|44-46_164";"Комбинезон 818N-PP-13/71"
977;"818N-PP-13/71|44-46_170";"Комбинезон 818N-PP-13/71"
978;"818N-PP-13/71|44-46_176";"Комбинезон 818N-PP-13/71"
979;"818N-PP-13/71|48-50_164";"Комбинезон 818N-PP-13/71"
980;"818N-PP-13/71|48-50_170";"Комбинезон 818N-PP-13/71"
981;"818N-PP-13/71|48-50_176";"Комбинезон 818N-PP-13/71"
982;"818N-PP-13/71|48-50_188";"Комбинезон 818N-PP-13/71"
983;"818N-PP-13/71|52-54_170";"Комбинезон 818N-PP-13/71"
984;"818N-PP-13/71|52-54_176";"Комбинезон 818N-PP-13/71"
985;"818N-PP-13/71|52-54_182";"Комбинезон 818N-PP-13/71"
986;"818N-PP-13/71|52-54_188";"Комбинезон 818N-PP-13/71"
987;"818N-PP-13/71|56-58_170";"Комбинезон 818N-PP-13/71"
988;"818N-PP-13/71|56-58_176";"Комбинезон 818N-PP-13/71"
989;"818N-PP-13/71|56-58_182";"Комбинезон 818N-PP-13/71"
990;"818N-PP-13/71|56-58_188";"Комбинезон 818N-PP-13/71"
991;"818N-PP-13/71|60-62_176";"Комбинезон 818N-PP-13/71"
992;"818N-PP-13/71|60-62_182";"Комбинезон 818N-PP-13/71"
993;"818N-PP-13/71|60-62_188";"Комбинезон 818N-PP-13/71"
994;"818N-PP-13/71|64-66_176";"Комбинезон 818N-PP-13/71"
995;"818N-PP-13/71|64-66_182";"Комбинезон 818N-PP-13/71"
996;"818N-PP-13/71|64-66_188";"Комбинезон 818N-PP-13/71"
