"Артикул";"Ozon Product ID";"FBS OZON SKU ID";"Наименование товара";"Доступно на моих складах, шт";"Зарезервировано на моих складах, шт";"Доступно на ""Тихвин, Мебельная 1"", шт";"Зарезервировано на ""Тихвин, Мебельная 1"", шт"
"2001459834572";"57181388";"241718287";"Комбинезон мужской зимний 8831-TWILL-16/58 (р-р 48-50/170)";"2";"0";"2";"0"
"2001459834589";"57181389";"241721204";"Комбинезон мужской зимний 8831-TWILL-16/58 (р-р 48-50/176)";"9";"0";"9";"0"
"2001459834596";"57181390";"241721101";"Комбинезон мужской зимний 8831-TWILL-16/58 (р-р 48-50/182)";"9";"0";"9";"1"
"2001459834602";"57181391";"241718420";"Комбинезон мужской зимний 8831-TWILL-16/58 (р-р 48-50/188)";"1";"0";"1";"0"
"2001459834619";"57181392";"241721010";"Комбинезон мужской зимний 8831-TWILL-16/58 (р-р 52-54/170)";"0";"0";"0";"0"
"2001459834626";"57181393";"241721205";"Комбинезон мужской зимний 8831-TWILL-16/58 (р-р 52-54/176)";"0";"0";"0";"0"
"2001459834633";"57181394";"241721086";"Комбинезон мужской зимний 8831-TWILL-16/58 (р-р 52-54/182)";"8";"0";"8";"0"
"2001459831656";"73692610";"276325881";"Комбинезон мужской рабочий оранжевый летний 830-MU-75 (р-р 60-62/182)";"1";"0";"1";"0"
"2001459831670";"73692611";"276326064";"Комбинезон мужской рабочий оранжевый летний 830-MU-75 (р-р 64-66/182)";"0";"0";"0";"0"
"2001459831687";"73692612";"262717809";"Комбинезон мужской рабочий оранжевый летний 830-MU-75 (р-р 64-66/188)";"0";"0";"0";"0"
"2001459824825";"310420839";"621163441";"Китель повара унисекс белый 379T-P92 (р-р 48-50/170-176)";"0";"0";"0";"0"
"2001459824856";"310454483";"621209040";"Китель повара унисекс белый 379T-P92 (р-р 56-58/170-176)";"21";"0";"21";"0"
"2001459824795";"310454484";"621207910";"Китель повара унисекс белый 379T-P92 (р-р 44-46/158-164)";"0";"0";"0";"0"
"2001459824849";"310454486";"621207969";"Китель повара унисекс белый 379T-P92 (р-р 52-54/170-176)";"7";"0";"7";"0"
"2001459824832";"310454488";"621209026";"Китель повара унисекс белый 379T-P92 (р-р 48-50/182-188)";"2";"0";"2";"0"
"2001459824818";"310454489";"621209081";"Китель повара унисекс белый 379T-P92 (р-р 48-50/158-164)";"0";"0";"0";"0"
"2001459824801";"310454491";"621209008";"Китель повара унисекс белый 379T-P92 (р-р 44-46/170-176)";"0";"0";"0";"0"
"2001459831663";"317509264";"633570854";"Комбинезон мужской рабочий оранжевый летний 830-MU-75 (р-р 60-62/188)";"0";"0";"0";"0"
"2001459821213";"328050903";"649364853";"Ветровка из хлопка 475T-FAS-90 черная  (р-р 56-58/170-176)";"2";"0";"2";"0"
"2000174590015";"355793494";"697098895";"Комбинезон мужской зимний 8831-TWILL-16/77 (р-р 44-46/164)";"5";"0";"5";"0"
"2001459824894";"368404259";"717773677";"Брюки повара мужские 281T-P159-50 (р-р 48-50/182-188)";"41";"0";"41";"0"
"2001459824924";"368404262";"717773684";"Брюки повара мужские 281T-P159-50 (р-р 56-58/170-176)";"22";"0";"22";"0"
"2001459824870";"368404264";"717773674";"Брюки повара мужские 281T-P159-50 (р-р 44-46/170-176)";"15";"0";"15";"9"
"2001459824931";"368404265";"717773682";"Брюки повара мужские 281T-P159-50 (р-р 56-58/182-188)";"19";"0";"19";"0"
"2001459824900";"368404268";"717773685";"Брюки повара мужские 281T-P159-50 (р-р 52-54/170-176)";"41";"0";"41";"0"
"2001459824917";"368404269";"717773680";"Брюки повара мужские 281T-P159-50 (р-р 52-54/182-188)";"47";"0";"47";"0"
"2001459824948";"368404270";"717773695";"Брюки повара мужские 281T-P159-50 (р-р 60-62/170-176)";"5";"0";"5";"0"
"2001459803813";"478833371";"912130212";"Бриджи мужские 222B-CY-55 (р-р 64-66/170-176)";"3";"0";"3";"1"
"2001459803820";"478833372";"912130221";"Бриджи мужские 222B-CY-55 (р-р 64-66/182-188)";"0";"0";"0";"0"
