"rrrrr";"Ozon Product ID";"FBS OZON SKU ID";"Наименование товара";"Доступно на моих складах, шт";"Зарезервировано на моих складах, шт";"Доступно на ""Тихвин, Мебельная 1"", шт";"Зарезервировано на ""Тихвин, Мебельная 1"", шт"
"2001459845004";"57181345";"241716147";"Комбинезон мужской утеплённый 888N-TWILL-16/58 (р-р 44-46/170)";"10";"0";"10";"0"
"2001459845073";"57181346";"241715689";"Комбинезон мужской утеплённый 888N-TWILL-16/58 (р-р 48-50/176)";"10";"0";"10";"0"
"2001459845080";"57181347";"241715615";"Комбинезон мужской утеплённый 888N-TWILL-16/58 (р-р 48-50/182)";"7";"0";"7";"0"
"2001459845059";"57181348";"241715663";"Комбинезон мужской утеплённый 888N-TWILL-16/58 (р-р 48-50/170)";"10";"0";"10";"0"
"2001459874783";"57181349";"241716272";"Комбинезон мужской утеплённый 888N-TWILL-16/58 (р-р 44-46/176)";"8";"0";"8";"0"
"2001459845103";"57181355";"241715800";"Комбинезон мужской утеплённый 888N-TWILL-16/58 (р-р 52-54/170)";"9";"0";"9";"0"
"2001459845097";"57181356";"241715787";"Комбинезон мужской утеплённый 888N-TWILL-16/58 (р-р 48-50/188)";"8";"0";"8";"0"
"2001459845134";"57181358";"241715458";"Комбинезон мужской утеплённый 888N-TWILL-16/58 (р-р 52-54/188)";"10";"0";"10";"0"
"2001459845127";"57181359";"241716138";"Комбинезон мужской утеплённый 888N-TWILL-16/58 (р-р 52-54/182)";"7";"0";"7";"0"
"2001459845158";"57181364";"241715452";"Комбинезон мужской утеплённый 888N-TWILL-16/58 (р-р 56-58/176)";"3";"1";"3";"1"
"2001459871348";"57181365";"241715454";"Комбинезон мужской утеплённый 888N-TWILL-16/58 (р-р 56-58/182)";"2";"0";"2";"0"
"2001459845172";"57181366";"241715469";"Комбинезон мужской утеплённый 888N-TWILL-16/58 (р-р 56-58/188)";"6";"0";"6";"0"
"2001459871355";"57181367";"241715459";"Комбинезон мужской утеплённый 888N-TWILL-16/58 (р-р 60-62/176)";"5";"0";"5";"0"
"2001459871362";"57181368";"241715462";"Комбинезон мужской утеплённый 888N-TWILL-16/58 (р-р 60-62/182)";"5";"0";"5";"0"
"2001459871379";"57181369";"241715461";"Комбинезон мужской утеплённый 888N-TWILL-16/58 (р-р 60-62/188)";"5";"0";"5";"0"
"2001459871386";"57181370";"241715478";"Комбинезон мужской утеплённый 888N-TWILL-16/58 (р-р 64-66/182)";"6";"0";"6";"0"
"2000470400018";"57181371";"241715497";"Комбинезон 888R-PP-15";"0";"0";"0";"0"
"2000470390012";"57181372";"241715491";"Комбинезон 888R-PP-15";"0";"0";"0";"0"
"2000470420016";"57181373";"241715466";"Комбинезон 888R-PP-15";"0";"0";"0";"0"
"2001459854440";"57181374";"242753364";"Комбинезон 8831-TWILL FT-16/15";"1";"0";"1";"0"
"2001459854464";"57181375";"242755121";"Комбинезон 8831-TWILL FT-16/15";"2";"0";"2";"0"
"2001459854457";"57181376";"242723870";"Комбинезон 8831-TWILL FT-16/15";"7";"0";"7";"0"
"2000470440014";"57181377";"241715463";"Комбинезон 888R-PP-15";"0";"0";"0";"0"
"2000470430015";"57181378";"241715460";"Комбинезон 888R-PP-15";"0";"0";"0";"0"
"2001459854471";"57181379";"242727079";"Комбинезон 8831-TWILL FT-16/15";"1";"0";"1";"0"
"2001459854525";"57181381";"242815997";"Комбинезон 8831-TWILL FT-16/15";"1";"0";"1";"0"
"2001459854488";"57181382";"242733664";"Комбинезон 8831-TWILL FT-16/15";"0";"0";"0";"0"
"2001459854518";"57181383";"241718344";"Комбинезон 8831-TWILL FT-16/15";"2";"0";"2";"0"
"2001459854532";"57181384";"242753396";"Комбинезон 8831-TWILL FT-16/15";"4";"0";"4";"0"
"2001459854402";"57181385";"241718471";"Комбинезон мужской зимний 8831-TWILL-16/58 (р-р 44-46/164)";"2";"0";"2";"0"
"2001459872390";"57181386";"241721111";"Комбинезон мужской зимний 8831-TWILL-16/58 (р-р 44-46/170)";"9";"0";"9";"0"
"2001459854419";"57181387";"241718423";"Комбинезон мужской зимний 8831-TWILL-16/58 (р-р 44-46/176)";"10";"0";"10";"0"
"2001459834572";"57181388";"241718287";"Комбинезон мужской зимний 8831-TWILL-16/58 (р-р 48-50/170)";"2";"0";"2";"0"
"2001459834589";"57181389";"241721204";"Комбинезон мужской зимний 8831-TWILL-16/58 (р-р 48-50/176)";"5";"0";"5";"0"
"2001459834596";"57181390";"241721101";"Комбинезон мужской зимний 8831-TWILL-16/58 (р-р 48-50/182)";"8";"0";"8";"0"
"2001459834602";"57181391";"241718420";"Комбинезон мужской зимний 8831-TWILL-16/58 (р-р 48-50/188)";"1";"0";"1";"0"
"2001459834619";"57181392";"241721010";"Комбинезон мужской зимний 8831-TWILL-16/58 (р-р 52-54/170)";"0";"0";"0";"0"
"2001459834626";"57181393";"241721205";"Комбинезон мужской зимний 8831-TWILL-16/58 (р-р 52-54/176)";"0";"0";"0";"0"
"2001459834633";"57181394";"241721086";"Комбинезон мужской зимний 8831-TWILL-16/58 (р-р 52-54/182)";"7";"0";"7";"0"
"2001459874769";"57181395";"241721184";"Комбинезон мужской зимний 8831-TWILL-16/58 (р-р 56-58/170)";"3";"0";"3";"0"
"2001459834664";"57181396";"241721356";"Комбинезон мужской зимний 8831-TWILL-16/58 (р-р 56-58/182)";"0";"0";"0";"0"
"2001459834657";"57181397";"241721351";"Комбинезон мужской зимний 8831-TWILL-16/58 (р-р 56-58/176)";"2";"0";"2";"0"
"2001459834671";"57181398";"241721203";"Комбинезон мужской зимний 8831-TWILL-16/58 (р-р 56-58/188)";"0";"0";"0";"0"
"2001459854426";"57181399";"241721146";"Комбинезон мужской зимний 8831-TWILL-16/58 (р-р 60-62/182)";"7";"0";"7";"0"
"2001459874776";"57181400";"241721395";"Комбинезон мужской зимний 8831-TWILL-16/58 (р-р 60-62/188)";"8";"0";"8";"0"
"2001459854433";"57181401";"241721327";"Комбинезон мужской зимний 8831-TWILL-16/58 (р-р 64-66/182)";"11";"0";"11";"0"
"2000174610010";"57181402";"241721201";"Комбинезон мужской зимний 8831-TWILL-16/77 (р-р 44-46/176)";"10";"0";"10";"0"
"2000174640017";"57181403";"241721100";"Комбинезон мужской зимний 8831-TWILL-16/77 (р-р 48-50/164)";"2";"0";"2";"0"
"2000174650016";"57181404";"241713383";"Комбинезон мужской зимний 8831-TWILL-16/77 (р-р 48-50/170)";"10";"0";"10";"0"
"2000174670014";"57181405";"241721358";"Комбинезон мужской зимний 8831-TWILL-16/77 (р-р 48-50/182)";"9";"0";"9";"0"
"2000174680013";"57181406";"241721224";"Комбинезон мужской зимний 8831-TWILL-16/77 (р-р 48-50/188)";"2";"0";"2";"0"
"2000174690012";"57181407";"241721305";"Комбинезон мужской зимний 8831-TWILL-16/77 (р-р 48-50/194)";"4";"0";"4";"0"
"2000174720016";"57181408";"241721399";"Комбинезон мужской зимний 8831-TWILL-16/77 (р-р 52-54/176)";"5";"0";"5";"0"
"2000174730015";"57181409";"241718169";"Комбинезон мужской зимний 8831-TWILL-16/77 (р-р 52-54/182)";"10";"0";"10";"0"
"2000174760012";"57181410";"241721145";"Комбинезон мужской зимний 8831-TWILL-16/77 (р-р 56-58/164)";"5";"0";"5";"0"
"2000174770011";"57181411";"241721233";"Комбинезон мужской зимний 8831-TWILL-16/77 (р-р 56-58/170)";"5";"0";"5";"0"
"2000174790019";"57181412";"241715308";"Комбинезон мужской зимний 8831-TWILL-16/77 (р-р 56-58/182)";"10";"0";"10";"0"
"2000174820013";"57181413";"241715417";"Комбинезон мужской зимний 8831-TWILL-16/77 (р-р 60-62/164)";"6";"0";"6";"0"
"2000174830012";"57181414";"241715367";"Комбинезон мужской зимний 8831-TWILL-16/77 (р-р 60-62/170)";"5";"0";"5";"0"
"2000174840011";"57181415";"241713376";"Комбинезон мужской зимний 8831-TWILL-16/77 (р-р 60-62/176)";"5";"0";"5";"0"
"2000174890016";"57181416";"241715732";"Комбинезон мужской зимний 8831-TWILL-16/77 (р-р 64-66/170)";"6";"0";"6";"0"
