product_code;ozon_ordered
2000174590015;5
2000174600011;10
2000174610010;14
2000174640017;4
2000174650016;19
2000174670014;15
2000174710017;8
2000174720016;9
2000174730015;27
2000174760012;6
2000174790019;16
2000174830012;7
2000225110018;1
2000225150014;1
2000225160013;2
2000225170012;2
2000225180011;2
2000240840013;5
2001459803660;2
2001459821213;2
2001459824856;21
2001459824894;41
2001459824900;41
2001459824955;43
2001459827741;1
2001459827758;4
2001459827765;1
2001459831519;7
2001459831526;6
2001459831533;14
2001459831540;5
2001459831557;14
2001459831595;9
2001459831601;16
2001459831625;4
2001459831632;5
2001459834589;9
2001459834596;9
2001459834633;8
2001459834657;4
2001459835531;0
2001459841532;1
2001459845004;18
2001459845059;34
2001459845073;41
2001459845080;35
2001459845097;22
2001459845103;24
2001459845110;35
2001459845127;38
2001459845134;36
2001459845158;14
2001459845172;14
2001459846025;1
2001459846049;7
2001459846056;8
2001459853306;6
2001459854235;5
2001459854297;11
2001459854303;2
2001459854327;2
2001459854334;11
2001459854358;5
2001459854402;3
2001459855409;24
2001459855423;6
2001459855492;10
2001459855515;3
2001459855607;1
2001459860106;1
2001459860267;7
2001459860281;4
2001459860298;4
2001459860311;2
2001459860328;2
2001459860625;11
2001459860878;2
2001459860892;23
2001459860908;17
2001459860915;6
2001459864463;6
2001459865200;7
2001459865224;12
2001459865248;21
2001459865927;448
2001459866276;9
2001459868720;8
2001459869918;19
2001459869925;3
2001459869932;13
2001459869963;10
2001459869970;3
2001459869987;4
2001459869994;7
2001459870457;2
2001459871348;14
2001459871355;10
2001459871362;6
2001459871379;12
2001459871386;13
2001459872505;2
2001459872543;4
2001459872925;4
2001459872949;14
2001459872956;12
2001459872963;15
2001459872970;8
2001459872987;9
2001459872994;9
2001459874462;3
2001459874769;5
2001459874783;11
2001459875261;2
2001459875278;1
2001459875308;6
2001459875339;3
2001459875353;6
2001459875360;5
2001459875476;3
2001459875490;5
2001459875506;5
2001459875520;4
2001459875766;11
2001459875773;14
2001459875780;3
2001459875803;6
2001459876848;7
2001459876855;14
2001459877043;3
2001459877050;4
2001459877067;3
2001459877074;1
2001459877081;6
2001459877098;1
2001459877104;6
2001459877111;9
2001459877128;7
2001459877135;10
2001459877142;6
2001459877159;2
2001459877166;3
2001459877173;6
2001459877791;6
2001459877807;31
2001459877814;23
2001459877821;23
2001459877838;4
2001459877845;2
2001459879085;10
2001459879092;15
2001459879108;2
2001459879443;3
2001459879450;1
2001459879528;20
2001459879542;6
2001459880043;54
2001459880067;41
2001459880081;12
2001459880098;17
2001459880128;11
2001459880135;8
2001459880142;6
2001459880166;9
2001459880173;19
2001459880180;6
2001459880197;8
2001459880241;21
2001459881613;14
2001459881620;32
2001459881637;26
2001459881644;18
2001459881651;30
2001459881675;17
2001459881705;6
2001459881712;6
2001459881729;1
2001459881736;9
2001459881743;8
2001459881750;6
2001459882016;13
2001459882023;8
2001459882030;5
2001459882047;5
2001459882474;14
2001459882481;9
2001459882498;8
2001459882948;2
2001459882955;3
2001459882962;3
2001459882979;20
2001459882986;2
2001459882993;3
2001459883006;5
2001459883013;9
2001459883020;4
2001459883037;2
2001459883044;6
2001459883051;5
2001459883068;4
2001459883396;4
2001459884539;1
2001459885451;10
2001459885468;20
2001459885499;4
2001459885512;6
2001459885697;6
2001459885710;3
2001459885789;9
2001459887622;3
2001459887646;4
2001459887691;8
2001459887707;12
2001459887714;11
2001459887721;18
2001459888865;4
2001459888872;5
2001459888902;2
2001459888933;4
2001459888940;4
2001459889084;5
2001459889091;10
2001459889107;16
2001459889121;7
2001459889176;2
2001459889190;5
2001459889206;6
2001459889213;6
2001459889220;12
2001459889237;17
2001459889244;12
2001459889251;4
2001459889268;4
2001459889275;2
2001459889282;10
2001459889299;7
2001459889312;6
2001459889329;4
2001459889336;3
2001459889350;3
2001459889862;3
2001459890103;12
2001459890134;4
2001459890158;3
2001459890172;27
2001459890196;4
2001459890219;20
2001459890226;27
2001459890233;19
2001459890257;11
2001459890264;12
2001459890271;5
2001459890356;7
2001459891384;4
2001459891414;6
2001459891421;4
2001459891469;11
2001459891483;8
2001459891506;5
2001459891513;8
2001459891520;11
2001459891537;4
2001459891551;15
2001459891568;8
2001459891575;7
2001459891582;6
2001459891599;4
2001459891605;5
2001459891612;6
2001459892435;2
2001459892480;3
2001459892541;33
2001459892756;10
2001459892763;7
2001459892770;6
2001459892787;6
2001459892794;9
2001459892800;6
2001459892817;10
2001459892824;10
2001459892831;9
2001459892848;9
2001459892855;10
2001459892862;6
2001459892879;10
2001459892886;8
2001459892893;7
2001459892909;8
2001459892916;5
2001459892923;6
2001459893074;3
2001459893081;1
2001459893159;4
2001459894590;29
