product_code;stock
2000174590015;5
2000174600011;10
2000174610010;14
2000174620019;4
2000174630018;1
2000174640017;4
2000174650016;19
2000174660015;5
2000174670014;15
2000174680013;2
2000174690012;4
2000174700018;2
2000174710017;8
2000174720016;9
2000174730015;27
2000174740014;1
2000174760012;6
2000174770011;5
2000174780010;15
2000174790019;16
2000174800015;0
2000174820013;6
2000174830012;7
2000174840011;5
2000174850010;6
2000174860019;2
2000174880017;6
2000174890016;6
2000174900012;9
2000174910011;5
2000174920010;5
2000225110018;1
2000225150014;1
2000225160013;1
2000225170012;2
2000225180011;2
2000240840013;5
2000470390012;0
2000470400018;0
2000470420016;0
2000470430015;0
2000470440014;0
2000478140015;5
2001459803516;1
2001459803608;1
2001459803653;0
2001459803660;2
2001459803677;2
2001459803684;1
2001459803691;0
2001459803769;3
2001459803813;3
2001459803820;0
2001459821213;2
2001459824795;0
2001459824801;0
2001459824818;0
2001459824825;0
2001459824832;0
2001459824849;8
2001459824856;21
2001459824870;15
2001459824894;40
2001459824900;38
2001459824917;47
2001459824924;22
2001459824931;19
2001459824948;5
2001459824955;42
2001459827727;0
2001459827741;1
2001459827758;3
2001459827765;1
2001459831519;2
2001459831526;6
2001459831533;9
2001459831540;4
2001459831557;7
2001459831564;0
2001459831571;0
2001459831588;6
2001459831595;5
2001459831601;11
2001459831618;0
2001459831625;4
2001459831632;3
2001459831649;0
2001459831656;1
2001459831663;0
2001459831670;0
2001459831687;0
2001459834572;2
2001459834589;8
2001459834596;9
2001459834602;1
2001459834619;0
2001459834626;0
2001459834633;8
2001459834657;4
2001459834664;0
2001459834671;0
2001459834992;0
2001459835449;4
2001459835456;15
2001459835463;3
2001459835470;6
2001459835487;11
2001459835494;6
2001459835500;2
2001459835517;3
2001459835524;3
2001459835531;0
2001459835548;5
2001459835555;4
2001459835579;0
2001459835586;1
2001459835593;3
2001459835609;3
2001459835616;4
2001459835623;1
2001459835661;12
2001459835791;3
2001459835814;3
2001459835838;2
2001459835869;11
2001459835883;2
2001459835906;3
2001459835913;6
2001459841457;10
2001459841464;7
2001459841495;181
2001459841501;13
2001459841518;2
2001459841525;0
2001459841532;1
2001459845004;18
2001459845059;34
2001459845073;40
2001459845080;35
2001459845097;22
2001459845103;24
2001459845110;35
2001459845127;38
2001459845134;36
2001459845158;14
2001459845172;14
2001459845981;2
2001459845998;2
2001459846018;4
2001459846025;1
2001459846032;2
2001459846049;7
2001459846056;8
2001459848050;3
2001459853276;0
2001459853283;0
2001459853290;0
2001459853306;3
2001459853313;0
2001459854235;5
2001459854242;3
2001459854259;1
2001459854266;2
2001459854273;0
2001459854280;1
2001459854297;11
2001459854303;2
2001459854310;1
2001459854327;2
2001459854334;11
2001459854341;2
2001459854358;5
2001459854372;0
2001459854389;0
2001459854396;0
2001459854402;3
2001459854419;10
2001459854426;7
2001459854433;11
2001459854440;1
2001459854457;7
2001459854464;2
2001459854471;1
2001459854488;0
2001459854518;2
2001459854525;1
2001459854532;4
2001459855164;1
2001459855171;2
2001459855188;48
2001459855195;3
2001459855218;1
2001459855249;5
2001459855256;2
2001459855317;1
2001459855331;1
2001459855379;1
2001459855393;0
2001459855409;24
2001459855416;3
2001459855423;6
2001459855447;3
2001459855485;2
2001459855492;9
2001459855515;3
2001459855522;4
2001459855560;2
2001459855577;5
2001459855584;47
